                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3885,                   4.13,                  2.281,                0.00533,                0.12903,                0.00318,                0.00164,                 2.7102,                 3.8337,                 1.7489,                 0.0001,                 0.0001,                 0.0001
                      2,                  2.835,                 3.5262,                 1.5533,                0.01667,                0.40323,                 0.0176,                0.00948,                 1.7543,                 3.5224,                 1.1039,             0.00021891,             0.00021891,             0.00021891
                      3,                 2.0109,                  1.747,                 1.0167,                0.02867,                0.69355,                0.16607,                0.09031,                 1.5494,                 3.1488,                0.98079,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6667,                 1.1795,                0.96533,                0.03933,                0.95161,                0.25569,                0.16886,                  1.396,                 2.7688,                0.95189,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.4847,                 1.0393,                0.95318,                   0.04,                0.96774,                 0.8439,                0.46922,                 1.3766,                 2.4609,                0.97239,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.4507,                0.98028,                 0.9364,                   0.04,                0.96774,                    0.9,                0.51393,                  1.283,                  2.349,                0.94418,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.3456,                0.88514,                0.91643,                      1,                0.67325,                0.95451,                0.58711,                 1.1025,                 1.9953,                0.89769,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.3147,                0.86196,                0.90725,                0.93928,                0.24973,                0.88311,                0.57281,                 1.1722,                 1.9786,                0.92496,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.4157,                0.82379,                0.91296,                0.95123,                0.62915,                 0.9101,                0.55063,                 1.3388,                 1.7457,                0.99197,               0.001018,               0.001018,               0.001018
                     10,                 1.3144,                0.79104,                 0.9107,                0.96342,                0.84965,                0.94351,                0.57165,                 1.3738,                  1.568,                0.99763,              0.0011274,              0.0011274,              0.0011274
                     11,                  1.364,                0.80656,                0.91006,                      1,                0.87807,                 0.9632,                 0.6065,                 1.2469,                 1.5445,                0.95172,              0.0012357,              0.0012357,              0.0012357
                     12,                  1.264,                0.79011,                0.87898,                      1,                0.91046,                0.95335,                0.63714,                 1.1692,                 1.4077,                0.91712,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.3176,                0.78091,                0.90021,                      1,                0.90157,                0.95421,                0.58369,                 1.3307,                 1.2652,                0.95507,              0.0014485,              0.0014485,              0.0014485
                     14,                  1.363,                0.79245,                0.92888,                      1,                0.91149,                0.95949,                0.66821,                 1.1069,                 1.1016,                0.90189,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.3528,                0.77413,                0.90205,                      1,                0.91549,                0.96247,                0.66149,                 1.1711,                 1.0528,                0.91332,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.3428,                0.76998,                0.90791,                      1,                0.92903,                0.96357,                0.60211,                 1.2732,                 1.0324,                 0.9495,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.3043,                0.77917,                0.89376,                0.97839,                0.91935,                0.94788,                0.60539,                 1.1748,                0.92801,                0.92344,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.3427,                0.77661,                0.91705,                0.99759,                0.93548,                0.97459,                0.55179,                 1.3332,                0.79949,                0.96957,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.2623,                 0.7243,                0.88425,                0.98323,                0.94569,                0.97435,                0.63129,                 1.1913,                0.73247,                0.93115,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.1781,                0.69439,                0.87826,                0.96359,                0.95161,                0.96328,                0.66545,                 1.1006,                 0.7095,                0.90712,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.1888,                0.71953,                0.89676,                0.96716,                0.94993,                0.96395,                0.65597,                 1.1589,                0.73078,                0.91301,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.1951,                0.70287,                0.88206,                0.96689,                0.95161,                0.96384,                0.66672,                 1.0844,                0.69425,                0.90217,               0.001802,               0.001802,               0.001802
                     23,                 1.2524,                0.68397,                 0.8928,                0.96283,                0.95161,                0.97872,                0.66829,                 1.0658,                0.66144,                0.90401,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.2311,                0.68249,                0.87828,                0.97051,                0.93548,                0.96378,                0.64316,                 1.0993,                 0.6874,                0.90191,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.2853,                0.69969,                0.89295,                0.96706,                0.94718,                0.98054,                0.72426,                0.96438,                0.63095,                  0.876,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.1909,                0.65933,                0.87352,                0.99606,                0.93548,                0.96373,                0.63945,                 1.1737,                0.69928,                0.92206,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.1402,                0.65415,                0.88715,                      1,                0.93003,                 0.9636,                0.63807,                 1.1615,                0.69897,                 0.9193,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.1472,                0.63535,                 0.8813,                0.99587,                0.91935,                 0.9888,                 0.6714,                 1.0111,                 0.6367,                0.88732,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.1013,                0.64093,                0.87471,                 0.9833,                0.94964,                0.98062,                0.65495,                 1.0882,                 0.6557,                0.90049,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.1717,                0.64611,                0.87987,                0.96512,                0.95161,                0.97967,                 0.6739,                 1.0578,                 0.6184,                0.89117,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.1896,                0.62921,                 0.8702,                0.96705,                0.94668,                0.96275,                0.64044,                 1.1242,                0.60417,                0.90176,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.1581,                0.63219,                0.87829,                      1,                0.89199,                0.98813,                0.65849,                  1.047,                0.60926,                0.89057,               0.001703,               0.001703,               0.001703
                     33,                 1.2257,                0.63866,                0.90293,                0.96618,                0.95161,                 0.9895,                0.67178,                 1.0034,                0.61232,                0.88014,              0.0016931,              0.0016931,              0.0016931
                     34,                   1.16,                0.61977,                0.88247,                0.98028,                0.95161,                0.98001,                0.64535,                 1.1222,                0.60875,                0.89936,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.1584,                0.63001,                  0.903,                0.95153,                0.94988,                0.97928,                0.69655,                0.98145,                0.57835,                0.87918,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.1571,                 0.6114,                0.89047,                0.95282,                0.97729,                0.98189,                0.70836,                  1.026,                0.63161,                0.89065,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.1983,                0.61991,                0.88078,                0.96356,                0.98387,                0.98265,                0.68871,                 1.1048,                0.62049,                0.90375,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1578,                0.62042,                0.88625,                0.96715,                0.94961,                0.97849,                0.73225,                0.95017,                0.58758,                0.87593,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.1444,                0.60792,                0.86366,                0.96758,                0.96276,                0.98204,                0.72256,                0.96942,                0.57575,                0.87723,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.1525,                0.60537,                0.87415,                0.94846,                0.98387,                0.98291,                0.69692,                 1.0118,                 0.5832,                0.88354,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.1598,                0.61621,                0.88036,                0.96816,                0.98094,                0.98303,                0.70802,                0.93687,                0.55365,                0.86944,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.109,                0.60981,                0.88132,                0.97718,                0.96774,                0.97595,                0.69759,                0.94995,                0.54338,                0.87027,               0.001604,               0.001604,               0.001604
                     43,                 1.0798,                0.57686,                0.86568,                0.97088,                0.96774,                0.97684,                0.69722,                0.98184,                 0.5401,                0.87857,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0324,                0.54781,                0.85796,                0.98345,                 0.9584,                0.98277,                0.73233,                0.87684,                0.50978,                0.86328,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.1616,                0.58918,                0.88509,                      1,                0.94404,                0.98236,                0.71123,                0.95815,                0.58458,                0.87773,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.1146,                 0.5816,                0.88112,                0.94975,                0.96774,                0.97706,                0.70143,                0.97012,                0.55133,                0.88454,              0.0015644,              0.0015644,              0.0015644
                     47,                  1.088,                0.58819,                0.87481,                 0.9677,                0.96643,                0.97367,                0.73459,                0.88386,                0.51761,                0.86979,              0.0015545,              0.0015545,              0.0015545
                     48,                  1.156,                0.57888,                0.88046,                      1,                0.91724,                0.96537,                0.69634,                 1.0392,                0.58912,                0.89585,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.0613,                0.56357,                0.86502,                      1,                0.91595,                0.96289,                0.71748,                 0.9931,                0.58324,                0.89147,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.1302,                0.60693,                0.87162,                0.96756,                0.96222,                0.97267,                0.68428,                 1.0278,                0.56243,                0.89402,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.0756,                0.56545,                0.86548,                0.96081,                0.96774,                0.97267,                0.69389,                0.95037,                0.55445,                0.87923,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.0297,                0.57375,                0.85398,                 0.9661,                0.91922,                0.97412,                0.72866,                0.88986,                0.53218,                0.86785,               0.001505,               0.001505,               0.001505
                     53,                 1.0312,                0.54345,                0.87571,                0.98144,                0.90323,                0.97317,                0.71186,                0.95945,                 0.5507,                0.87501,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.0645,                0.56037,                0.86551,                0.94917,                0.95161,                0.98431,                 0.7259,                0.95309,                0.58183,                0.87722,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.0816,                0.56266,                0.86982,                0.96689,                0.94207,                 0.9872,                0.73154,                0.91052,                0.53436,                0.87117,              0.0014753,              0.0014753,              0.0014753
                     56,                  1.105,                0.59542,                 0.8715,                0.96089,                0.96774,                 0.9867,                0.72351,                0.93714,                0.55359,                0.87052,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.0653,                0.58086,                0.87179,                0.96757,                0.96239,                0.98722,                0.72911,                0.96055,                0.51843,                0.87413,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.0892,                0.56452,                0.88828,                0.96685,                0.96774,                0.97922,                0.72248,                0.97797,                0.51356,                0.87958,              0.0014456,              0.0014456,              0.0014456
                     59,                   1.05,                0.52979,                0.87868,                0.96439,                0.96774,                0.98867,                0.74395,                0.87808,                0.48483,                0.86242,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.0652,                0.53197,                0.85975,                0.99806,                0.93548,                0.96298,                0.68762,                0.92574,                0.52424,                0.86821,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.0266,                0.55832,                0.86704,                0.99664,                0.93548,                0.97742,                0.71727,                0.88325,                 0.5248,                0.85858,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.0136,                0.54375,                0.85228,                 0.9671,                0.94818,                0.97533,                0.74032,                0.85544,                0.51391,                0.85547,               0.001406,               0.001406,               0.001406
                     63,                 1.0307,                0.52814,                0.86309,                0.93472,                0.96774,                  0.973,                0.71262,                0.91154,                0.52704,                0.86649,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.0493,                0.53151,                0.85341,                0.98356,                0.96509,                 0.9783,                  0.746,                 0.8738,                0.50087,                0.86586,              0.0013862,              0.0013862,              0.0013862
